"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2129","TC_17 |Verify remove products from cart","chromium","Tue Mar 24 01:33:35 UTC 2026","passed","Tue Mar 24 01:33:38 UTC 2026","Remove Products From Cart","removeProductsFromCartPage.spec.js","",""
"","2552","TC_25 |Verify scroll up using 'Arrow' button and scroll down functionality","chromium","Tue Mar 24 01:33:49 UTC 2026","passed","Tue Mar 24 01:33:52 UTC 2026","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","verifyScrollUpUsingArrowButtonAndScrollDown.spec.js","",""
"","8036","TC_22 |Verify add to cart from recommended items","chromium","Tue Mar 24 01:32:46 UTC 2026","passed","Tue Mar 24 01:32:54 UTC 2026","Add to cart from Recommended items","addToCartFromRecommendedItems.spec.js","",""
"","2140","TC_06 |Verify contact us form","chromium","Tue Mar 24 01:32:56 UTC 2026","passed","Tue Mar 24 01:32:58 UTC 2026","Contact Us Form","contactUsFormPage.spec.js","",""
"","1993","TC_13 |Verify product quantity in cart","chromium","Tue Mar 24 01:33:47 UTC 2026","passed","Tue Mar 24 01:33:49 UTC 2026","Product quantity in Cart","verifyProductQuantityInCartPage.spec.js","",""
"","1758","TC_02 |Verify login user with correct email and password","chromium","Tue Mar 24 01:33:06 UTC 2026","passed","Tue Mar 24 01:33:08 UTC 2026","Login User with correct email and password","loginUserWithCorrectEmailAndPassword.spec.js","",""
"","7059","TC_14 |Verify Place Order: register while checkout","chromium","Tue Mar 24 01:33:12 UTC 2026","passed","Tue Mar 24 01:33:19 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","1499","TC_09 |Verify search product","chromium","Tue Mar 24 01:33:38 UTC 2026","passed","Tue Mar 24 01:33:39 UTC 2026","Search Product","searchProductPage.spec.js","",""
"","3475","TC_20 |Verify search products and verify cart after login","chromium","Tue Mar 24 01:33:39 UTC 2026","passed","Tue Mar 24 01:33:43 UTC 2026","Search Products and Verify Cart After Login","searchProductsAndVerifyCartAfterLogin.spec.js","",""
"","3796","TC_01 |Verify register user","chromium","Tue Mar 24 01:33:30 UTC 2026","passed","Tue Mar 24 01:33:34 UTC 2026","Register User","registerUserPage.spec.js","",""
"","1740","TC_10 | Verify subscription in home page","chromium","Tue Mar 24 01:33:05 UTC 2026","passed","Tue Mar 24 01:33:06 UTC 2026","Verify Subscription in home page","homePage.spec.js","",""
"","1202","TC_05 |Verify register user with existing email","chromium","Tue Mar 24 01:33:34 UTC 2026","passed","Tue Mar 24 01:33:35 UTC 2026","Register User with existing email","registerUserWithExistingEmail.spec.js","",""
"","2582","TC_04 |Verify logout user","chromium","Tue Mar 24 01:33:10 UTC 2026","passed","Tue Mar 24 01:33:12 UTC 2026","Logout User","logoutUser.spec.js","",""
"","2622","TC_26 |Verify scroll up without 'Arrow' button and scroll down functionality","chromium","Tue Mar 24 01:33:52 UTC 2026","passed","Tue Mar 24 01:33:54 UTC 2026","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","verifyScrollUpWithoutArrowButtonAndScrollDown.spec.js","",""
"","6464","TC_24 |Verify download invoice after purchase order","chromium","Tue Mar 24 01:32:58 UTC 2026","passed","Tue Mar 24 01:33:05 UTC 2026","Download Invoice after purchase order","downloadInvoiceAfterPurchaseOrder.spec.js","",""
"","1560","TC_18 |Verify view category products","chromium","Tue Mar 24 01:33:57 UTC 2026","passed","Tue Mar 24 01:33:58 UTC 2026","View Category Products","viewCategoryProductsPage.spec.js","",""
"","5796","TC_15 |Verify Place Order: register before checkout","chromium","Tue Mar 24 01:33:19 UTC 2026","passed","Tue Mar 24 01:33:25 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","2365","TC_19 |Verify view and cart brand products","chromium","Tue Mar 24 01:33:54 UTC 2026","passed","Tue Mar 24 01:33:57 UTC 2026","View and Cart Brand Products","viewCartBrandProducts.spec.js","",""
"","1165","TC_08 |Verify all products and product detail page","chromium","Tue Mar 24 01:32:54 UTC 2026","passed","Tue Mar 24 01:32:55 UTC 2026","Verify All Products and product detail page","allProductsAndProductsDetailPage.spec.js","",""
"","5249","TC_16 |Verify Place Order: login before checkout","chromium","Tue Mar 24 01:33:25 UTC 2026","passed","Tue Mar 24 01:33:30 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","1570","TC_21 |Verify add review on product","chromium","Tue Mar 24 01:32:44 UTC 2026","passed","Tue Mar 24 01:32:46 UTC 2026","Add review on product","addReviewOnProduct.spec.js","",""
"","856","TC_11 | Verify subscription in cart page","chromium","Tue Mar 24 01:32:55 UTC 2026","passed","Tue Mar 24 01:32:56 UTC 2026","Verify Subscription in Cart page","cartPage.spec.js","",""
"","4086","TC_12 | Verify add products in cart","chromium","Tue Mar 24 01:32:39 UTC 2026","passed","Tue Mar 24 01:32:43 UTC 2026","Add Products in Cart","addProductsInCartPage.spec.js","",""
"","1569","TC_03 |Verify login user with incorrect email and password","chromium","Tue Mar 24 01:33:08 UTC 2026","passed","Tue Mar 24 01:33:10 UTC 2026","Login User with incorrect email and password","loginUserWithIncorrectEmail.spec.js","",""
"","1045","TC_07 |Verify test cases page","chromium","Tue Mar 24 01:33:43 UTC 2026","passed","Tue Mar 24 01:33:44 UTC 2026","Test Cases Page","testCasesPage.spec.js","",""
"","3524","TC_23 |Verify address details in checkout page","chromium","Tue Mar 24 01:33:44 UTC 2026","passed","Tue Mar 24 01:33:47 UTC 2026","Verify address details in checkout page","verifyAddressDetailsInCheckoutPage.spec.js","",""
